Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
78,John Gianelli,27,MIL,C,82,,2327,4.7,9.7,0.488,1.2,1.9,0.642,2.6,5.3,7.9,3,0.8,1.4,2.3,2.9,10.7,,gianejo01
79,Steve Hawes,27,ATL,PF,75,,2325,6,13.2,0.453,2.7,3.3,0.818,2.8,7.9,10.7,2.9,1.2,0.9,2.3,3.6,14.7,,hawesst01
80,Lonnie Shelton,22,NYK,PF,82,45,2319,7.9,15.3,0.514,3.2,4.3,0.736,3.2,5.8,9,3,1.7,1.7,3.5,5.4,18.9,,sheltlo01
81,Tom Henderson,26,WSB,PG,75,,2315,5.3,12.2,0.432,2.8,3.7,0.746,1,2,3,6.3,1.4,0.2,3,2,13.3,,hendeto01
82,Bob Lanier,29,DET,C,63,,2311,9.7,18.1,0.537,4.6,6,0.772,3.1,8.1,11.1,3.4,1.3,1.4,3.5,2.9,24,MVP-10AS,laniebo01
83,Lou Hudson,33,LAL,SG,82,,2283,7.8,15.6,0.497,2.2,2.8,0.774,1.3,1.7,3,3,1.5,0.2,2.4,3.1,17.7,,hudsolo01
84,Clifford Ray,29,GSW,C,79,,2268,4.3,7.6,0.571,2.3,3.9,0.609,3.7,8.3,12,2.3,1.2,1.4,2.4,4.6,11,,raycl01
85,Kareem Abdul-Jabbar,30,LAL,C,62,,2265,10.5,19.2,0.55,4.4,5.6,0.783,3,9.8,12.7,4.3,1.6,2.9,3.3,2.9,25.4,MVP-4NBA2,abdulka01
86,Dave Bing,34,BOS,PG,80,,2256,6.7,15,0.449,3.9,4.7,0.824,1.2,2.2,3.4,4.8,1.3,0.3,3.4,3.9,17.4,,bingda01
87,Jack Sikma,22,SEA,PF,82,,2238,5.5,12.1,0.455,3.1,4,0.777,3.2,7.8,10.9,2.2,1.1,0.6,3,4.8,14.1,ROY-4,sikmaja01
88,Richard Washington,22,KCK,PF,78,,2231,6.9,14.4,0.477,2.4,3.2,0.754,3,7.5,10.6,1.9,1.2,1.2,3.1,5.2,16.1,,washiri01
89,Dennis Johnson,23,SEA,SG,81,,2209,6,14.4,0.417,4.8,6.6,0.732,2.5,2.3,4.8,3.7,1.9,0.8,2.7,3.5,16.8,,johnsde01
90,John Drew,23,ATL,SF,70,,2203,9.7,20.2,0.48,7.1,9.4,0.76,3.5,4.9,8.4,2.3,1.9,0.4,3.4,4,26.5,,drewjo01
91,Johnny Davis,22,POR,SG,82,,2188,5.6,12.4,0.454,3.1,3.7,0.828,1.1,1.8,2.8,3.6,1.3,0.2,2.5,2.8,14.4,,davisjo01
92,Austin Carr,29,CLE,SG,82,,2186,6.8,15.6,0.438,3,3.7,0.813,1.3,1.8,3.1,3.7,1.1,0.3,2.4,2.8,16.6,,carrau01
93,Paul Silas,34,SEA,PF,82,,2172,3,7.7,0.397,1.8,3.1,0.586,4.8,6.2,11,2.4,1.1,0.3,2.5,3,7.9,,silaspa01
94,Bob Gross,24,POR,SF,72,,2163,6.3,12,0.529,2.5,3.2,0.8,3,3.7,6.7,4.2,1.7,0.9,3,3.9,15.2,,grossbo01
95,Billy Knight,25,BUF,SF,53,,2155,7.6,15.5,0.494,5,6.2,0.809,2.1,4.3,6.4,2.7,1.4,0.2,2.8,2.3,20.3,AS,knighbi01
96,Kevin Kunnert,26,HOU,C,80,,2152,6.2,14.1,0.437,1.6,2.3,0.689,4.4,7.2,11.6,1.6,0.7,1.5,2.4,5.3,13.9,,kunneke01
97,Lucius Allen,30,KCK,PG,77,,2147,6.3,14.2,0.441,2.9,3.7,0.791,1.1,2.7,3.8,6,1.6,0.5,3.6,3,15.4,,allenlu01
98,Sam Lacey,29,KCK,C,77,,2131,4.5,10,0.449,2.3,3.2,0.717,2.6,8.2,10.8,5.1,2,1.8,3.1,4.5,11.2,,laceysa01
99,Kevin Grevey,24,WSB,SF,81,,2121,8.6,19.1,0.448,4.1,5.2,0.789,2.1,2.8,4.9,2.6,1,0.3,2.7,3.4,21.3,,greveke01
100,Rich Kelley,24,NOJ,C,82,,2119,5.2,10.2,0.505,3.8,4.9,0.779,4.2,8.7,12.9,4,1.5,2.2,3.8,5,14.2,,kelleri01
101,Maurice Lucas,25,POR,PF,68,,2119,7.7,16.8,0.458,3.5,4.6,0.767,3.2,7.4,10.6,2.9,1,1,3.3,3.8,18.9,MVP-6ASNBA2,lucasma01
102,Aaron James,25,NOJ,SF,80,,2118,7.3,14.6,0.497,2,2.7,0.745,2.8,4.4,7.2,1.9,0.6,0.4,2.2,4.3,16.5,,jamesaa01
103,Moses Malone,22,HOU,C,59,,2107,7.1,14.1,0.499,5.4,7.6,0.718,6.5,8.6,15.1,0.5,0.8,1.3,3.8,3.1,19.5,AS,malonmo01
