Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
40,John Tresvant,28,DET,PF,55,,1671,5.9,12.9,0.461,3.9,6,0.658,11.6,2.5,5.1,15.8,,tresvjo01
41,John Tresvant,28,CIN,PF,30,,802,5.4,12.1,0.448,3,4.8,0.632,7.6,2.1,4.7,13.9,,tresvjo01
42,Tom Hawkins,31,LAL,PF,78,,2463,5.7,11.4,0.499,1.8,3.3,0.546,6.7,1.7,4.2,13.2,,hawkito01
43,Jerry Sloan,25,CHI,SG,77,,2454,5.4,14.1,0.385,4.2,5.7,0.749,8.7,3.4,4.3,15.1,,sloanje01
44,Bob Rule,23,SEA,C,82,,2424,8.4,17.3,0.489,5.2,7.9,0.658,11.5,1.5,4.7,22,,rulebo01
45,Sam Jones,34,BOS,SG,73,,2408,9.3,20.2,0.461,4.6,5.6,0.827,5.3,3.2,2.7,23.2,AS,jonessa01
46,Fred Hetzel,25,SFW,SF,77,,2394,8,19.4,0.414,5.9,7.1,0.833,8.2,2,3.9,22,,hetzefr01
47,Al Tucker,24,SEA,PF,81,,2368,6.6,15,0.442,2.8,4,0.707,9.2,1.7,4,16.1,,tuckeal01
48,Dick Van Arsdale,24,NYK,SG,78,50,2348,4.8,11.1,0.436,3.5,5.2,0.67,6.5,3.5,3.4,13.2,,vanardi01
49,Eddie Miles,27,DET,SG,76,,2303,8.8,18.4,0.475,4.4,5.8,0.764,4.1,3.4,3.1,21.9,,milesed01
50,Kevin Loughery,27,BAL,PG,77,,2297,7.2,17.7,0.406,4.8,6.1,0.778,3.9,4,4.7,19.1,,loughke01
51,Cazzie Russell,23,NYK,SF,82,45,2296,8.6,18.7,0.462,4.4,5.5,0.808,5.9,3.1,3.5,21.7,,russeca01
52,Darrall Imhoff,29,LAL,C,82,,2271,4.6,9.7,0.478,2.8,4.5,0.619,14.2,3.3,4.2,12.1,,imhofda01
53,Gus Johnson,29,BAL,SF,60,,2271,7.6,16.4,0.467,2.9,4.3,0.667,12.4,2.5,3.5,18.1,AS,johnsgu01
54,Keith Erickson,23,CHI,SF,78,,2257,6,15,0.401,3.1,4.1,0.755,6.7,4.3,4.4,15.1,,erickke01
55,Nate Thurmond,26,SFW,C,51,,2222,6.2,15.1,0.411,4.6,7.1,0.644,18.2,3.5,2.2,16.9,AS,thurmna01
56,McCoy McLemore,25,CHI,SF,76,,2100,6.4,16.1,0.398,3.7,4.7,0.779,7.4,2.2,3.8,16.5,,mclemmc01
